name,category,star_rating,visitor_reviews,blog_reviews,address
이자카야 우규 경성대점,음식점,4.89,304,0,부산 남구 용소로13번길 37
카츠야,음식점,별점 없음,135,0,부산 남구 이기대공원로 18 더파크이기대 101동102호
미츠바,음식점,4.94,209,0,부산 남구 용소로14번길 50 2층
오오키니,음식점,4.47,453,0,부산 남구 용소로14번길 31 1층 오오키니
세이고우,음식점,별점 없음,443,0,부산 남구 수영로298번길 41 1층
미슐당 대연본점,음식점,별점 없음,"5,452",0,부산 남구 용소로13번길 80 1층 미슐당
혁이네초밥집,음식점,4.9,611,0,부산 수영구 남천바다로21번길 3 1층
쿠우쿠우 부산경성대점,음식점,별점 없음,"6,968",0,부산 남구 수영로 305 3층 쿠우쿠우 골드 부산경성대점
카츠키친 대연점,음식점,4.92,"1,007",0,부산 남구 용소로7번길 54 102호
은화수식당 경성대점,음식점,별점 없음,355,0,부산 남구 용소로21번길 39-1
톤톤,음식점,별점 없음,8,0,부산 남구 용소로19번길 48 1층
코고미식당,음식점,별점 없음,402,0,부산 남구 수영로334번길 56-6 에덴원룸 1층
오니쿠,음식점,4.88,171,0,부산 남구 수영로358번길 25 1층 오니쿠
마지,음식점,별점 없음,3,0,부산 남구 용소로14번길 14-1 1층
충남집,음식점,별점 없음,232,0,부산 남구 수영로358번길 36
타코비 경성대점,음식점,별점 없음,99,0,부산 남구 수영로 306 농협대연동지점
오츠 경성대부경대점,음식점,별점 없음,287,0,부산 남구 수영로334번길 56-7 1층
이천밥쌤 경성대부경대점,음식점,별점 없음,205,0,부산 남구 용소로 13 경운빌딩 1층
세카이,음식점,별점 없음,1,0,부산 남구 수영로334번길 36 1층
요이참치대연점,음식점,별점 없음,66,0,부산 남구 수영로266번길 74 요이참치 1층
돈돈카츠 대연점,음식점,별점 없음,66,0,부산 남구 수영로266번길 115 베네시티
채선당 샤브보트 부경대점,음식점,별점 없음,200,0,부산 남구 용소로21번길 71
우연 초신선 한우육회와 최상급 딥스킨연어,음식점,별점 없음,5,17,부산 남구 수영로 294
이쯔모 창코나베전문점,음식점,별점 없음,2,1,부산 남구 용소로13번길 41-1
구드미엘,음식점,별점 없음,575,0,부산 남구 수영로325번길 12 대연동푸르지오아파트
봉이집,음식점,별점 없음,3,0,부산 남구 수영로322번길 49-3 1층
모야시 철판돈까스 & 대만 마제소바 대연점,음식점,별점 없음,11,0,부산 남구 용소로14번길 9 1(일부)층(대연동)
동욱 참치,음식점,별점 없음,3,0,부산 남구 용소로40번길 30
카레대왕돈까스킹,음식점,별점 없음,1,0,부산 남구 수영로298번길 21
자연메기탕.추어탕,음식점,별점 없음,1,0,부산 남구 대연동 11-3
1970 신포할매 쫄면과돈까스 대연점,음식점,별점 없음,0,0,부산 남구 수영로298번길 21
바로덮밥 대연점,음식점,별점 없음,34,0,부산 남구 수영로298번길 36 유이빌딩 2층
카돈카돈,음식점,별점 없음,1,1,부산 남구 수영로298번길 21
홍홍카츠 본점,음식점,별점 없음,0,0,부산 남구 용소로8번길 21
통통연어,음식점,별점 없음,2,0,부산 남구 수영로298번길 21
니가찾던돈까스,음식점,별점 없음,0,0,부산 남구 용소로46번길 30 (대연동)
우나요시 본점,음식점,별점 없음,135,0,부산 수영구 황령대로489번길 14 1층 106호
임사부돈카츠하나만파는집 대연점,음식점,별점 없음,0,0,부산 남구 수영로 311 2층
진깡사마,음식점,4.68,295,0,부산 수영구 황령대로481번길 10-10 진깡사마
대운 남천동본점,음식점,4.85,"1,267",0,부산 수영구 수영로388번길 45
땡초우동 대연혁신지구점,음식점,별점 없음,136,0,부산 남구 수영로 345 대연혁신지구상가 1층 115동 103호
어가 가이텐스시 남천점,음식점,별점 없음,215,0,부산 수영구 수영로384번길 10 1층 (남천동)
나지미,음식점,별점 없음,3,0,"부산 수영구 남천동로10번길 5 (남천동,남촌)"
초배집,음식점,별점 없음,0,0,부산 남구 유엔로 173 3층
편백찜,음식점,별점 없음,12,0,부산 남구 유엔로 173 3층
남천동 연어회,음식점,별점 없음,3,0,부산 수영구 남천동로 41
공감,음식점,별점 없음,56,0,부산 남구 유엔평화로10번길 8
송원일식,음식점,별점 없음,561,0,부산 수영구 남천동로9번길 41 인재빌딩 1.2층
박성환돈까스 남천점,음식점,4.79,"1,828",0,부산 수영구 광남로 14 1층
아트마네,음식점,별점 없음,15,0,부산 남구 유엔평화로 25 1층
